Type,Description,Case#,Location#,LocationName,Agency,DateMonth2015,DateDay,Hour,Minute,AMPM,Thour,long,lat,spec
THEFT,RETAIL,Eau Claire PD 0115009304,4700,BLOCK GOLF RD,Eau Claire Police,5,20,5,56,PM,17,44.771715,-91.445768,
THEFT,BIKE,Eau Claire PD 0115009320,800,BLOCK E GRAND AV,Eau Claire Police,5,20,5,20,PM,17,44.813119,-91.493848,
DISTURBANCE,NEIGHBOR TROUBLE,Eau Claire PD 0115009283,1200,BLOCK STATE ST,Eau Claire Police,5,20,2,36,PM,14,44.80313,-91.494638,
CRIM DAMAGE,PRIVATE PROPERTY,Eau Claire PD 0115009321,1400,BLOCK BADGER AV,Eau Claire Police,5,20,1,0,PM,13,44.805439,-91.482356,
DISTURBANCE,,Eau Claire PD 0115009279,1700,BLOCK NELSON DR,Eau Claire Police,5,20,12,39,PM,12,44.816481,-91.543114,
THEFT,IDENTITY,Eau Claire CSO 0215003046,7100,BLOCK SOUTH SHORE DR,Eau Claire County Sheriff,5,20,11,34,AM,11,,,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115009351,3400,BLOCK MARTENSON ST,Eau Claire Police,5,20,11,0,AM,11,44.783923,-91.479422,
THEFT,BIKE,Eau Claire PD 0115009260,900,BLOCK WATER ST,Eau Claire Police,5,20,3,30,AM,3,44.80217,-91.517949,water
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115009258,2000,BLOCK HIGHLAND AV,Eau Claire Police,5,20,3,0,AM,3,44.807305,-91.47345,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115009254,3200,BLOCK OAK KNOLL DR,Eau Claire Police,5,20,12,55,AM,0,44.767515,-91.456034,
CRIM DAMAGE,PRIVATE PROPERTY,Eau Claire PD 0115009270,4600,BLOCK SPEROS LA,Eau Claire Police,5,19,11,0,PM,23,44.769941,-91.466925,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115009287,900,BLOCK CEDAR ST,Eau Claire Police,5,19,10,0,PM,22,44.822078,-91.522262,
VEHICLE,STOLEN LOCALLY,Eau Claire PD 0115009249,2200,BLOCK BIRCH ST,Eau Claire Police,5,19,9,14,PM,21,44.820499,-91.478662,
DISTURBANCE,,Eau Claire PD 0115009247,900,BLOCK S FARWELL ST,Eau Claire Police,5,19,9,12,PM,21,44.806841,-91.494097,
THEFT,RETAIL,Eau Claire PD 0115009248,3300,BLOCK E HAMILTON AV,Eau Claire Police,5,19,9,0,PM,21,44.785632,-91.456184,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115009245,1600,BLOCK WESTERN AV,Eau Claire Police,5,19,8,51,PM,20,44.835204,-91.477563,
DISTURBANCE,,Eau Claire CSO 0215003035,3400,BLOCK BLAKELEY AV,Eau Claire County Sheriff,5,19,8,48,PM,20,44.783723,-91.465657,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115009239,1200,BLOCK BROOKLINE AV,Eau Claire Police,5,19,6,56,PM,18,44.828371,-91.465392,
CRIM DAMAGE,OTHER PROPERTY,Eau Claire PD 0115009352,1200,BLOCK S HASTINGS WAY,Eau Claire Police,5,19,4,30,PM,16,44.805528,-91.470938,
THEFT,RETAIL,Eau Claire PD 0115009353,900,BLOCK W CLAIREMONT AV,Eau Claire Police,5,19,4,0,PM,16,44.793426,-91.512522,sacred heart hospital
FRAUD,ALL OTHER,Eau Claire PD 0115009216,2300,BLOCK WESTERN AV,Eau Claire Police,5,19,3,25,PM,15,44.850672,-91.473535,
DRUG,METH POSSESSION,Eau Claire PD 0115009217,2500,BLOCK S HASTINGS WAY,Eau Claire Police,5,19,2,38,PM,14,44.793711,-91.458619,
CRIM DAMAGE,OTHER PROPERTY,Eau Claire PD 0115009440,600,BLOCK 5TH AV,Eau Claire Police,5,19,12,1,AM,0,44.806018,-91.509782,
ORD COMPLAINT,OTHER NOISE,Eau Claire PD 0115009184,3100,BLOCK ELDORADO BLVD,Eau Claire Police,5,18,11,19,PM,23,44.78805,-91.514953,
THEFT,FROM AUTO CAR ENTRY,Eau Claire PD 0115009454,2000,BLOCK SECLUSION DR,Eau Claire Police,5,18,10,0,PM,22,44.838725,-91.482535,
CRIM DAMAGE,VEHICLE,Eau Claire PD 0115009223,900,BLOCK FAIRMONT AV,Eau Claire Police,5,18,9,0,PM,21,44.809091,-91.54029,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115009177,1000,BLOCK MERIDIAN HGHTS DR,Eau Claire Police,5,18,8,37,PM,20,44.809227,-91.537745,
CRIM DAMAGE,PRIVATE PROPERTY,Eau Claire PD 0115009199,2500,BLOCK MELMAR CT,Eau Claire Police,5,18,8,30,PM,20,44.818297,-91.544825,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115009173,2100,BLOCK MITTELSTADT LA,Eau Claire Police,5,18,8,10,PM,20,44.821218,-91.541023,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115009169,3100,BLOCK ELDORADO BLVD,Eau Claire Police,5,18,7,0,PM,19,44.788039,-91.514943,
THEFT,GAS SKIP,Eau Claire PD 0115009821,2100,BLOCK HIGHLAND AV,Eau Claire Police,5,18,5,57,PM,17,44.807344,-91.471274,
THEFT,IDENTITY,Eau Claire CSO 0215003007,700,BLOCK S 130TH AV,Eau Claire County Sheriff,5,18,4,23,PM,16,,,
DISTURBANCE,Eau Claire PD 0115009178,,4800,BLOCK SOUTHRIDGE CT,Eau Claire Police,5,18,4,0,PM,16,44.783803,-91.434805,
THEFT,OTHER MISDEMEANOR,Eau Claire PD 0115009158,4100,BLOCK N TOWN HALL RD,Eau Claire Police,5,18,3,55,PM,15,44.843924,-91.589636,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115009148,1200,BLOCK WHIPPLE ST,Eau Claire Police,5,18,2,17,PM,14,44.811443,-91.513444,
THEFT,RETAIL,Eau Claire PD 0115009226,3600,BLOCK S HASTINGS WAY,Eau Claire Police,5,18,1,36,PM,13,44.781327,-91.440967,
SEX OFFENSE,OTHER FELONY ASSAULT,Eau Claire PD 0115009143,1500,BLOCK S FARWELL ST,Eau Claire Police,5,18,11,0,AM,11,44.799932,-91.489042,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115009131,2100,BLOCK MITTELSTADT LA,Eau Claire Police,5,18,10,34,AM,10,44.821116,-91.541034,
CRIMINAL DAMAGE,,Eau Claire CSO 0215002985,700,BLOCK 2ND AV,Eau Claire County Sheriff,5,18,12,24,AM,0,44.806984,-91.5034,
DISTURBANCE,,Eau Claire PD 0115010456,2100,BLOCK VIENNA TER,Eau Claire Police,5,18,12,1,AM,0,44.796151,-91.543747,
DRUG,POSSESS DRUG PARAPHERNALIA,Eau Claire PD 0115009105,600,BLOCK RANDALL ST,Eau Claire Police,5,17,6,6,PM,18,44.814615,-91.513936,
GRAFFITI,OTHER PROPERTY,Eau Claire PD 0115009102,400,BLOCK GRAHAM AV,Eau Claire Police,5,17,5,41,PM,17,44.809791,-91.499452,
DISTURBANCE,,Eau Claire CSO 0215002979,2900,BLOCK BLAKELEY AV,Eau Claire County Sheriff,5,17,3,31,PM,15,44.789197,-91.465757,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115009096,3100,BLOCK DEERFIELD DR,Eau Claire Police,5,17,2,50,PM,14,44.832645,-91.466803,
DRUG INVESTIGATION/INFORMATION,,Eau Claire CSO 0215002977,100,BLOCK E MCKINLEY AV,Eau Claire County Sheriff,5,17,2,43,PM,14,44.762558,-91.27715,
THEFT,RETAIL,Eau Claire PD 0115009153,3600,BLOCK S HASTINGS WAY,Eau Claire Police,5,17,2,36,PM,14,44.781353,-91.440988,
DISTURBANCE,,Eau Claire PD 0115009094,2700,BLOCK EDDY LA,Eau Claire Police,5,17,2,21,PM,14,44.850747,-91.471184,
ANIMAL,BARKING DOG,Eau Claire PD 0115009091,2900,BLOCK NORTHLAND DR,Eau Claire Police,5,17,1,59,PM,13,44.849528,-91.47075,
THEFT,RETAIL,Eau Claire PD 0115009086,2200,BLOCK BIRCH ST,Eau Claire Police,5,17,12,30,PM,12,44.820499,-91.478662,
FRAUD,ALL OTHER,Eau Claire PD 0115009367,1800,BLOCK S HASTINGS WAY,Eau Claire Police,5,17,12,0,PM,12,44.800292,-91.468711,
THEFT,OTHER,Eau Claire CSO 0215002967,N500 ,BLOCK CTH XX,Eau Claire County Sheriff,5,17,10,0,AM,10,,,
CRIMINAL DAMAGE,,Eau Claire CSO 0215002965,1400,BLOCK HIGHLAND AV,Eau Claire County Sheriff,5,17,9,48,AM,9,44.807244,-91.482365,
CRIM DAMAGE,VEHICLE,Eau Claire PD 0115009098,800,BLOCK STARR AV,Eau Claire Police,5,17,2,30,AM,2,44.822489,-91.47869,
DRUG,MARIJUANA POSSESSION,Eau Claire PD 0115009066,500,BLOCK CAMERON ST,Eau Claire Police,5,17,2,29,AM,2,44.816364,-91.513569,
BATTERY,HANDS FIST FEET AGGRAV,Eau Claire PD 0115009064,100,BLOCK CHIPPEWA ST,Eau Claire Police,5,17,2,2,AM,2,44.803142,-91.501732,near water
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115009063,3500,BLOCK PARKSIDE EAST CIR,Eau Claire Police,5,17,1,51,AM,1,44.781025,-91.511989,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115009061,1500,BLOCK S HASTINGS WAY,Eau Claire Police,5,17,12,20,AM,0,44.802698,-91.470528,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115009060,900,BLOCK S FARWELL ST,Eau Claire Police,5,17,12,18,AM,0,44.806867,-91.49415,
ORD COMPLAINT,DISORDERLY CONDUCT,Eau Claire CSO 0215002959,2800,BLOCK LONDON RD,Eau Claire County Sheriff,5,16,11,58,PM,23,44.789666,-91.463763,
DISTURBANCE,,Eau Claire PD 0115009058,900,BLOCK BROADVIEW BLVD,Eau Claire Police,5,16,11,56,PM,23,44.788193,-91.543276,
DISTURBANCE,,Eau Claire CSO 0215002958,3200,BLOCK E CLAIREMONT AV,Eau Claire County Sheriff,5,16,11,22,PM,23,44.795452,-91.458036,
DISTURBANCE,DISORDERLY CONDUCT,Eau Claire PD 0115009053,2200,BLOCK 2ND ST,Eau Claire Police,5,16,11,12,PM,23,44.821523,-91.512644,
THEFT,FROM AUTO CAR ENTRY,Eau Claire PD 0115009080,2500,BLOCK S HASTINGS WAY,Eau Claire Police,5,16,11,0,PM,23,44.793723,-91.458651,
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115009052,200,BLOCK CHIPPEWA ST,Eau Claire Police,5,16,10,57,PM,22,44.803147,-91.503378,near water
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115009051,5300,BLOCK CHRISTOPHER DR,Eau Claire Police,5,16,10,39,PM,22,44.837686,-91.583156,
ORD COMPLAINT,OTHER NOISE,Eau Claire PD 0115009048,1800,BLOCK PETERSON AV,Eau Claire Police,5,16,10,34,PM,22,44.836323,-91.437588,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115009047,500,BLOCK 3RD AV,Eau Claire Police,5,16,10,25,PM,22,44.805036,-91.505658,
CRIM DAMAGE,VEHICLE,Eau Claire PD 0115009156,1400,BLOCK HIGHLAND AV,Eau Claire Police,5,16,10,0,PM,22,44.807225,-91.482365,
ORD COMPLAINT,DISORDERLY CONDUCT,Eau Claire CSO 0215002955,3200,BLOCK E CLAIREMONT AV,Eau Claire County Sheriff,5,16,9,53,PM,21,44.795426,-91.458025,
ORD COMPLAINT,LOUD MUSIC,Eau Claire PD 0115009044,3200,BLOCK MONROE ST,Eau Claire Police,5,16,8,35,PM,20,44.854351,-91.473026,
DISTURBANCE,FIGHTING,Eau Claire PD 0115009039,100,BLOCK RANDALL ST,Eau Claire Police,5,16,8,35,PM,20,44.814698,-91.509325,
ORD COMPLAINT,OTHER NOISE,Eau Claire PD 0115009043,1200,BLOCK MERIDIAN HGHTS DR,Eau Claire Police,5,16,8,33,PM,20,44.81121,-91.53889,
THEFT,BIKE,Eau Claire PD 0115009037,1100,BLOCK MAIN ST,Eau Claire Police,5,16,7,12,PM,19,44.812398,-91.486605,
DISTURBANCE,,Eau Claire PD 0115009038,500,BLOCK CEDAR ST,Eau Claire Police,5,16,7,11,PM,19,44.822318,-91.516633,
BATTERY,KNIFE/CUTTING INSTRUM,Eau Claire PD 0115009034,400,BLOCK N BARSTOW ST,Eau Claire Police,5,16,7,7,PM,19,44.816438,-91.501874,
DISTURBANCE,,Eau Claire PD 0115009057,400,BLOCK N BARSTOW ST,Eau Claire Police,5,16,7,7,PM,19,44.816438,-91.501874,
ORD COMPLAINT, LOUD PARTY,Eau Claire PD 0115009032,800,BLOCK NIAGARA ST,Eau Claire Police,5,16,7,7,PM,19,44.804116,-91.515973,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115009029,600,BLOCK RANDALL ST,Eau Claire Police,5,16,6,47,PM,18,44.814619,-91.513947,
THEFT,FROM AUTO CAR ENTRY,Eau Claire PD 0115009090,300,BLOCK CHIPPEWA ST,Eau Claire Police,5,16,5,30,PM,17,44.803128,-91.505678,near water
ORD COMPLAINT,LOUD PARTY,Eau Claire PD 0115009026,500,BLOCK CARSON PARK DR,Eau Claire Police,5,16,5,26,PM,17,44.807194,-91.521697,
BATTERY,NON-AGGRAVATED,Eau Claire PD 0115009024,400,BLOCK W GRAND AV,Eau Claire Police,5,16,5,1,PM,17,44.808237,-91.506302,
THEFT,FROM AUTO EXTERNAL PARTS,Eau Claire PD 0115009019,600,BLOCK MENOMONIE ST,Eau Claire Police,5,16,3,15,PM,15,44.801264,-91.511889,near water
